ticker,sd_score
MMM,50
AOS,50
ABT,50
ABBV,50
ACN,50
ADBE,50
AMD,50
AES,50
AFL,50
A,50
APD,50
ABNB,50
AKAM,50
ALB,50
ARE,50
ALGN,50
ALLE,50
LNT,50
ALL,50
GOOGL,50
GOOG,50
MO,50
AMZN,50
AMCR,50
AEE,50
AEP,50
AXP,50
AIG,50
AMT,50
AWK,50
AMP,50
AME,50
AMGN,50
APH,50
ADI,50
AON,50
APA,50
APO,50
AAPL,50
AMAT,50
APP,50
APTV,50
ACGL,50
ADM,50
ARES,50
ANET,50
AJG,50
AIZ,50
T,50
ATO,50
ADSK,50
ADP,50
AZO,50
AVB,50
AVY,50
AXON,50
BKR,50
BALL,50
BAC,50
BAX,50
BDX,50
BRK-B,50
BBY,50
TECH,50
BIIB,50
BLK,50
BX,50
XYZ,50
BK,50
BA,50
BKNG,50
BSX,50
BMY,50
AVGO,50
BR,50
BRO,50
BF-B,50
BLDR,50
BG,50
BXP,50
CHRW,50
CDNS,50
CPT,50
CPB,50
COF,50
CAH,50
CCL,50
CARR,50
CVNA,50
CASY,50
CAT,50
CBOE,50
CBRE,50
CDW,50
COR,50
CNC,50
CNP,50
CF,50
CRL,50
SCHW,50
CHTR,50
CVX,50
CMG,50
CB,50
CHD,50
CIEN,50
CI,50
CINF,50
CTAS,50
CSCO,50
C,50
CFG,50
CLX,50
CME,50
CMS,50
KO,50
CTSH,50
COHR,50
COIN,50
CL,50
CMCSA,50
FIX,50
CAG,50
COP,50
ED,50
STZ,50
CEG,50
COO,50
CPRT,50
GLW,50
CPAY,50
CTVA,50
CSGP,50
COST,50
CTRA,50
CRH,50
CRWD,50
CCI,50
CSX,50
CMI,50
CVS,50
DHR,50
DRI,50
DDOG,50
DVA,50
DECK,50
DE,50
DELL,50
DAL,50
DVN,50
DXCM,50
FANG,50
DLR,50
DG,50
DLTR,50
D,50
DPZ,50
DASH,50
DOV,50
DOW,50
DHI,50
DTE,50
DUK,50
DD,50
ETN,50
EBAY,50
SATS,50
ECL,50
EIX,50
EW,50
EA,50
ELV,50
EME,50
EMR,50
ETR,50
EOG,50
EPAM,50
EQT,50
EFX,50
EQIX,50
EQR,50
ERIE,50
ESS,50
EL,50
EG,50
EVRG,50
ES,50
EXC,50
EXE,50
EXPE,50
EXPD,50
EXR,50
XOM,50
FFIV,50
FDS,50
FICO,50
FAST,50
FRT,50
FDX,50
FIS,50
FITB,50
FSLR,50
FE,50
FISV,50
F,50
FTNT,50
FTV,50
FOXA,50
FOX,50
BEN,50
FCX,50
GRMN,50
IT,50
GE,50
GEHC,50
GEV,50
GEN,50
GNRC,50
GD,50
GIS,50
GM,50
GPC,50
GILD,50
GPN,50
GL,50
GDDY,50
GS,50
HAL,50
HIG,50
HAS,50
HCA,50
DOC,50
HSIC,50
HSY,50
HPE,50
HLT,50
HD,50
HON,50
HRL,50
HST,50
HWM,50
HPQ,50
HUBB,50
HUM,50
HBAN,50
HII,50
IBM,50
IEX,50
IDXX,50
ITW,50
INCY,50
IR,50
PODD,50
INTC,50
IBKR,50
ICE,50
IFF,50
IP,50
INTU,50
ISRG,50
IVZ,50
INVH,50
IQV,50
IRM,50
JBHT,50
JBL,50
JKHY,50
J,50
JNJ,50
JCI,50
JPM,50
KVUE,50
KDP,50
KEY,50
KEYS,50
KMB,50
KIM,50
KMI,50
KKR,50
KLAC,50
KHC,50
KR,50
LHX,50
LH,50
LRCX,50
LVS,50
LDOS,50
LEN,50
LII,50
LLY,50
LIN,50
LYV,50
LMT,50
L,50
LOW,50
LULU,50
LITE,50
LYB,50
MTB,50
MPC,50
MAR,50
MRSH,50
MLM,50
MAS,50
MA,50
MKC,50
MCD,50
MCK,50
MDT,50
MRK,50
META,50
MET,50
MTD,50
MGM,50
MCHP,50
MU,50
MSFT,50
MAA,50
MRNA,50
TAP,50
MDLZ,50
MPWR,50
MNST,50
MCO,50
MS,50
MOS,50
MSI,50
MSCI,50
NDAQ,50
NTAP,50
NFLX,50
NEM,50
NWSA,50
NWS,50
NEE,50
NKE,50
NI,50
NDSN,50
NSC,50
NTRS,50
NOC,50
NCLH,50
NRG,50
NUE,50
NVDA,50
NVR,50
NXPI,50
ORLY,50
OXY,50
ODFL,50
OMC,50
ON,50
OKE,50
ORCL,50
OTIS,50
PCAR,50
PKG,50
PLTR,50
PANW,50
PSKY,50
PH,50
PAYX,50
PYPL,50
PNR,50
PEP,50
PFE,50
PCG,50
PM,50
PSX,50
PNW,50
PNC,50
POOL,50
PPG,50
PPL,50
PFG,50
PG,50
PGR,50
PLD,50
PRU,50
PEG,50
PTC,50
PSA,50
PHM,50
PWR,50
QCOM,50
DGX,50
Q,50
RL,50
RJF,50
RTX,50
O,50
REG,50
REGN,50
RF,50
RSG,50
RMD,50
RVTY,50
HOOD,50
ROK,50
ROL,50
ROP,50
ROST,50
RCL,50
SPGI,50
CRM,50
SNDK,50
SBAC,50
SLB,50
STX,50
SRE,50
NOW,50
SHW,50
SPG,50
SWKS,50
SJM,50
SW,50
SNA,50
SOLV,50
SO,50
LUV,50
SWK,50
SBUX,50
STT,50
STLD,50
STE,50
SYK,50
SMCI,50
SYF,50
SNPS,50
SYY,50
TMUS,50
TROW,50
TTWO,50
TPR,50
TRGP,50
TGT,50
TEL,50
TDY,50
TER,50
TSLA,50
TXN,50
TPL,50
TXT,50
TMO,50
TJX,50
TKO,50
TTD,50
TSCO,50
TT,50
TDG,50
TRV,50
TRMB,50
TFC,50
TYL,50
TSN,50
USB,50
UBER,50
UDR,50
ULTA,50
UNP,50
UAL,50
UPS,50
URI,50
UNH,50
UHS,50
VLO,50
VTR,50
VLTO,50
VRSN,50
VRSK,50
VZ,50
VRTX,50
VRT,50
VTRS,50
VICI,50
V,50
VST,50
VMC,50
WRB,50
GWW,50
WAB,50
WMT,50
DIS,50
WBD,50
WM,50
WAT,50
WEC,50
WFC,50
WELL,50
WST,50
WDC,50
WY,50
WSM,50
WMB,50
WTW,50
WDAY,50
WYNN,50
XEL,50
XYL,50
YUM,50
ZBRA,50
ZBH,50
ZTS,50
